id,final_status,store_address_id,customer_id,courier_id,vertical,is_food,transport,number_of_assignments,total_real_distance,activation_time_local,last_courier_assigned_time,courier_started_order_local,courier_enters_pickup_time_local,pickup_time_local,courier_enters_delivery_point_time_local,termination_time,Count,Total Time,...20,...21,...22,...23,...24,...25
52389843,DeliveredStatus,30640,13955464,18225713,WALL - Partner,TRUE,CAR,1,8.371,2019-07-08T21:21:12Z,2019-07-08T21:25:20Z,2019-07-08T21:25:29Z,2019-07-08T21:34:08Z,2019-07-08T21:52:23Z,2019-07-08T21:56:07Z,2019-07-08T22:01:02Z,NA,39,NA,NA,NA,NA,NA,NA
52524584,DeliveredStatus,18300,2232298,13822458,WALL - Partner,TRUE,BICYCLE,1,2.312,2019-07-09T20:15:00Z,2019-07-09T20:18:08Z,2019-07-09T20:18:28Z,2019-07-09T20:18:22Z,2019-07-09T20:45:27Z,2019-07-09T20:53:44Z,2019-07-09T20:58:00Z,NA,43,NA,NA,NA,NA,NA,NA
53128190,DeliveredStatus,15727,16784678,19090546,WALL - Partner,TRUE,CAR,1,4.35,2019-07-13T12:01:52Z,2019-07-13T12:02:28Z,2019-07-13T12:02:38Z,2019-07-13T12:01:52Z,2019-07-13T12:12:28Z,2019-07-13T12:19:24Z,2019-07-13T12:25:00Z,NA,23,NA,NA,NA,NA,NA,NA
53156163,DeliveredStatus,82665,6156985,18830660,WALL - Partner,TRUE,BICYCLE,1,4.789,2019-07-13T15:21:01Z,2019-07-13T15:21:50Z,2019-07-13T15:22:01Z,2019-07-13T15:21:15Z,2019-07-13T15:48:10Z,2019-07-13T16:01:32Z,2019-07-13T16:12:12Z,NA,51,NA,NA,NA,NA,NA,NA
52862986,DeliveredStatus,16698,8990777,17723174,WALL - NonPartner,TRUE,BICYCLE,1,4.555,2019-07-11T21:43:13Z,2019-07-11T21:45:11Z,2019-07-11T22:03:18Z,2019-07-11T22:12:02Z,2019-07-11T22:30:44Z,2019-07-11T22:38:13Z,2019-07-11T22:43:06Z,NA,59,NA,NA,NA,NA,NA,NA
52527981,DeliveredStatus,15727,4407586,15662901,WALL - Partner,TRUE,CAR,1,2.282,2019-07-09T20:29:09Z,2019-07-09T20:29:21Z,2019-07-09T20:29:32Z,2019-07-09T20:30:10Z,2019-07-09T20:42:15Z,2019-07-09T20:46:52Z,2019-07-09T20:53:05Z,NA,23,NA,NA,NA,NA,NA,NA
52858763,DeliveredStatus,18300,18818225,17787524,WALL - Partner,TRUE,BICYCLE,1,2.665,2019-07-11T21:27:55Z,2019-07-11T21:30:57Z,2019-07-11T21:31:35Z,2019-07-11T21:32:49Z,2019-07-11T21:54:01Z,2019-07-11T22:00:57Z,2019-07-11T22:03:56Z,NA,36,NA,NA,NA,NA,NA,NA
53472521,DeliveredStatus,85260,15884013,18225430,WALL - Partner,TRUE,BICYCLE,1,3.07,2019-07-14T23:31:07Z,2019-07-14T23:32:11Z,2019-07-14T23:32:25Z,2019-07-14T23:31:58Z,2019-07-14T23:39:11Z,2019-07-14T23:46:26Z,2019-07-14T23:50:44Z,NA,19,NA,NA,NA,NA,NA,NA
52521852,DeliveredStatus,18300,18139838,16974420,WALL - Partner,TRUE,BICYCLE,1,3.942,2019-07-09T20:03:01Z,2019-07-09T20:03:56Z,2019-07-09T20:09:55Z,2019-07-09T20:09:44Z,2019-07-09T20:30:21Z,2019-07-09T20:36:46Z,2019-07-09T20:38:02Z,NA,35,NA,NA,NA,NA,NA,NA
52680071,DeliveredStatus,15912,14170459,13762181,WALL - Partner,TRUE,CAR,1,4.493,2019-07-10T20:13:59Z,2019-07-10T20:24:19Z,2019-07-10T20:31:23Z,2019-07-10T20:37:06Z,2019-07-10T20:40:15Z,2019-07-10T20:52:04Z,2019-07-10T20:57:08Z,NA,43,NA,NA,NA,NA,NA,NA
52984858,DeliveredStatus,18300,18195480,13822458,WALL - Partner,TRUE,BICYCLE,1,2.184,2019-07-12T18:10:55Z,2019-07-12T18:11:43Z,2019-07-12T18:13:22Z,2019-07-12T18:15:08Z,2019-07-12T18:37:09Z,2019-07-12T18:41:26Z,2019-07-12T18:42:47Z,NA,31,NA,NA,NA,NA,NA,NA
53163075,DeliveredStatus,15727,14070026,15626049,WALL - Partner,TRUE,CAR,1,5.093,2019-07-13T16:10:16Z,2019-07-13T16:10:40Z,2019-07-13T16:10:42Z,2019-07-13T16:10:22Z,2019-07-13T16:25:27Z,2019-07-13T16:34:09Z,2019-07-13T16:46:47Z,NA,36,NA,NA,NA,NA,NA,NA
53346392,DeliveredStatus,71274,8201674,6212245,WALL - Partner,TRUE,MOTORBIKE,1,5.502,2019-07-14T14:43:23Z,2019-07-14T14:54:24Z,2019-07-14T15:06:51Z,2019-07-14T15:17:47Z,2019-07-14T15:19:50Z,2019-07-14T15:27:41Z,2019-07-14T15:32:43Z,NA,49,NA,NA,NA,NA,NA,NA
52548411,DeliveredStatus,15727,16921544,15239373,WALL - Partner,TRUE,CAR,1,3.122,2019-07-09T21:51:38Z,2019-07-09T21:51:54Z,2019-07-09T21:51:54Z,2019-07-09T21:51:43Z,2019-07-09T21:57:30Z,2019-07-09T22:03:37Z,2019-07-09T22:05:11Z,NA,13,NA,NA,NA,NA,NA,NA
